team,wins
"Manchester Utd",703
Arsenal,619
Chelsea,618
Liverpool,609
Tottenham,502
"Manchester City",473
Everton,418
"Newcastle Utd",382
"Aston Villa",354
"West Ham",335
Southampton,274
Blackburn,262
"Leeds United",216
"Leicester City",209
Middlesbrough,165
Fulham,162
Sunderland,153
Bolton,149
"Crystal Palace",145
"West Brom",117
"Stoke City",116
"Sheffield Weds",101
Wimbledon,99
"Norwich City",99
"Coventry City",99
"Charlton Ath",93
Wolves,90
"Wigan Athletic",85
Burnley,83
"Swansea City",82
QPR,81
Portsmouth,79
Watford,73
"Birmingham City",73
"Derby County",68
"Nott'ham Forest",60
"Ipswich Town",57
Bournemouth,56
"Sheffield Utd",53
Brighton,48
"Hull City",41
Reading,32
"Oldham Athletic",22
"Cardiff City",17
"Bradford City",14
Brentford,13
Huddersfield,12
Barnsley,10
Blackpool,10
"Swindon Town",5
